event_id,time,kind,customer_id,checkout_id
5708,8.176663795385586,arr,2958,3
5710,8.479194694329905,arr,2959,19
5712,8.756724384472188,arr,2960,16
5714,12.568307082556046,arr,2961,19
5715,16.87885690187155,arr,2962,9
5717,17.981984109334924,arr,2963,20
5719,18.764501412078044,arr,2964,4
5721,21.059787950948547,arr,2965,17
5723,21.688500841259486,arr,2966,11
5725,26.11322484273736,arr,2967,1
5727,28.358673422904157,arr,2968,3
5716,28.966221837880667,dep,2962,9
5728,29.485362696076244,arr,2969,11
5729,34.15332118368784,arr,2970,14
5731,34.40892040161936,arr,2971,16
5732,38.33605918172036,arr,2972,10
5734,38.91613485727595,arr,2973,20
5735,39.501882243680946,arr,2974,18
5737,41.474265567041165,arr,2975,1
5738,42.73896334731336,arr,2976,12
5722,46.455958581162214,dep,2965,17
5740,47.55443433462441,arr,2977,14
5739,52.080379635486814,dep,2976,12
5741,54.927745156343086,arr,2978,4
5742,58.5799653432612,arr,2979,18
5713,58.80135902407128,dep,2960,16
5726,60.497079594495574,dep,2967,1
5743,61.928075097131895,arr,2980,13
5747,62.10220262134494,arr,2981,1
5733,62.16171833084943,dep,2972,10
5748,64.97595320947454,arr,2982,22
5750,69.57493237622822,arr,2983,8
5752,69.98682048949102,arr,2984,9
5754,71.55697298517526,arr,2985,6
5724,74.08608503085432,dep,2966,11
5753,75.0436567725384,dep,2984,9
5756,78.27099653165602,arr,2986,23
5759,80.12956516409594,arr,2987,6
5718,80.1735240631391,dep,2963,20
5760,81.89202445867834,arr,2988,23
5746,83.19156462739912,dep,2980,13
5763,89.05453759664431,arr,2989,5
5745,92.72402937017681,dep,2975,1
5765,92.79200999264769,arr,2990,9
5768,93.2830703595436,arr,2991,17
5755,94.25092717965576,dep,2985,6
5770,94.73150712561525,arr,2992,20
5766,95.50394760818577,dep,2981,1
5751,99.21508627958926,dep,2983,8
5772,100.12752795173517,arr,2993,12
5769,101.4126844706732,dep,2991,17
5774,101.71820211233477,arr,2994,5
5775,103.11619212553424,arr,2995,13
5777,104.14624250810172,arr,2996,6
5776,110.61916966782387,dep,2995,13
5778,113.69882907256861,arr,2997,9
5779,114.93361117395669,arr,2998,10
5781,115.25957380172096,arr,2999,23
5757,115.5160909017823,dep,2969,11
5744,115.55556390489858,dep,2971,16
5783,116.11252013253514,arr,3000,12
5784,117.1143705927984,arr,3001,21
5786,118.96261759975354,arr,3002,13
5771,121.05206030709138,dep,2987,6
5788,121.10809637600521,arr,3003,11
5761,125.0062922484534,dep,2973,20
5711,126.92602765502697,dep,2959,19
5789,127.12850617577425,dep,2996,6
5790,128.30325522138546,dep,3003,11
5791,133.02240891443236,arr,3004,15
5767,136.79841907571057,dep,2990,9
5730,136.8507476476232,dep,2970,14
5736,138.02574809922226,dep,2974,18
5795,141.55188893556218,arr,3005,6
5796,142.08556130061666,dep,2997,9
5794,146.86023499832268,dep,3004,15
5800,148.20103277139165,arr,3006,15
5802,149.44068104292134,arr,3007,10
5799,149.61274632056137,dep,3005,6
5803,151.38872167509308,arr,3008,17
5805,152.03984450413202,arr,3009,14
5806,155.37125268304473,arr,3010,23
5798,156.84875810822123,dep,2979,18
5808,159.52698332865668,arr,3011,22
5787,161.52802148377492,dep,3002,13
5801,164.92854483025033,dep,3006,15
5809,167.41837243388838,arr,3012,13
5811,167.73597971514607,arr,3013,8
5813,171.3916365660614,arr,3014,1
5792,171.96643570483076,dep,2992,20
5815,173.39519304909203,arr,3015,23
